claim_id,claim_level,hypothesis,claim_text,evidence_grade,scope,effect_or_boundary,supporting_files,literature_difference,allowed_location,reason_or_guardrail
CS03,SUPPLEMENT_ONLY,H5,"At low budgets, some positive joint-success Mondrian-minus-Standard coverage differences coincide with infinite thresholds and doubleton sets, especially in the rare-positive task.",A,"five primary tasks; two models; budgets 25-100 emphasized","Available-attempt finite-threshold rate 0.3007 at 25 and 0.6820 at 50; joint-success conditional set-size differences exceed 0.32 at both budgets.","results/stage2ds/H5_ADJUDICATION_SUMMARY.json; results/stage2ds/H5_TRADEOFF_TABLE.csv","Makes the known finite-sample trade-off auditable under this protocol.","supplement; bounded main-text limitation","Do not interpret an infinite/full set as informative class-conditional success; non-estimable attempts receive no zero effect."
CP01,PROHIBITED,H3,"There is a uniform target-label budget that works across tasks, models and methods.",D,"outside evidence","Contradicted by the frozen grid.","reports/H3_SCIENTIFIC_JUDGMENT.md","Broad principle is not supported.","nowhere","Required prohibition."
CP02,PROHIBITED,H2,"Isotonic is universally ineffective.",D,"outside evidence","Only persistently harmful in the frozen natural-shift budget grid.","reports/H2_SCIENTIFIC_JUDGMENT.md","Prior work and the frozen simulation show contexts where isotonic improves.","nowhere","Required prohibition."
CP03,PROHIBITED,H2,"Intercept-only is universally optimal.",D,"outside evidence","It has substantial harm at budget 25 and is not best in every cell.","reports/H2_SCIENTIFIC_JUDGMENT.md","Simple-update precedents do not establish universal optimality.","nowhere","Required prohibition."
CP04,PROHIBITED,H5,"Mondrian is overall superior to Standard.",D,"outside evidence","Worst-class gains carry finite-threshold and set-size costs; marginal metrics do not uniformly improve.","reports/H5_SCIENTIFIC_JUDGMENT.md","Formal prior work also treats coverage-efficiency competition.","nowhere","Required prohibition."
CP05,PROHIBITED,H4,"AUROC has no value.",D,"outside evidence","The evidence only shows AUROC cannot replace probability-reliability metrics.","reports/H4_SCIENTIFIC_JUDGMENT.md","Discrimination remains a distinct useful evaluation dimension.","nowhere","Required prohibition."
CP06,PROHIBITED,H1,"H1 is new theory.",D,"outside evidence","Hypergeometric class support and finite conformal quantiles are prior art.","reports/H1_SCIENTIFIC_JUDGMENT.md; literature/FINAL_CLAIM_PRIOR_WORK_MATRIX.csv","Only protocol-specific validation and occurrence rates remain.","nowhere","Required prohibition."
CP07,PROHIBITED,SIMULATION,"Simulation validates all real-data results.",D,"outside evidence","Simulation is a mechanism probe and disagrees on high-budget isotonic behavior.","reports/SIMULATION_REAL_ALIGNMENT.md","It is neither external validation nor task replication.","nowhere","Required prohibition."
CP08,PROHIBITED,SCOPE,"Results apply to all tabular models.",D,"outside evidence","Only logistic regression and XGBoost were tested.","reports/FINAL_SCOPE_BOUNDARIES.md","No basis for other tree ensembles, neural tabular models or multiclass systems.","nowhere","Required prohibition."
CP09,PROHIBITED,H6,"H6 was tested.",D,"outside evidence","H6 is explicitly outside final scope.","results/stage2de/FINAL_EXPERIMENT_FACTS.json","No H6 experiment or adjudication exists.","nowhere","Required prohibition."
CP10,PROHIBITED,SCOPE,"Six tasks establish a universal law.",D,"outside evidence","Tasks are a bounded public natural-shift sample with five source families.","data/FINAL_DATASET_REGISTRY.csv; reports/FINAL_SCOPE_BOUNDARIES.md","LOTO/LOFO stability bounds this sample only.","nowhere","Required prohibition."
CP11,PROHIBITED,NOVELTY,"The individual calibration, label-budget, finite-threshold, Mondrian or AUROC components are first, novel or unprecedented contributions.",D,"outside evidence","Each component has direct formal prior work.","reports/COMBINATION_NOVELTY_ASSESSMENT.md; literature/FINAL_CLOSEST_PRIOR_WORK.csv","Only the bounded joint empirical audit remains incremental.","nowhere","No component-invention language."
